State,State Name,Year,Month,Indicator,Data Value,Predicted Value,Percent Complete,Percent Pending Investigation,Footnote
CT,CT,2015,January,Cocaine (T40.5),118,123,100,0.009926872,
CT,CT,2015,February,Cocaine (T40.5),124,129,100,0.009885004,
CT,CT,2015,March,Cocaine (T40.5),124,129,100,0.009837033,
CT,CT,2015,April,Cocaine (T40.5),125,130,100,0.009858368,
CT,CT,2015,May,Cocaine (T40.5),124,129,100,0.0131419,
CT,CT,2015,June,Cocaine (T40.5),126,131,100,0.013111315,
CT,CT,2015,July,Cocaine (T40.5),133,138,100,0.016333464,
CT,CT,2015,August,Cocaine (T40.5),134,139,100,0.016367148,
CT,CT,2015,September,Cocaine (T40.5),139,144,100,0.019636078,
CT,CT,2015,October,Cocaine (T40.5),155,161,100,0.016331863,
CT,CT,2015,November,Cocaine (T40.5),164,170,100,0.019511561,
CT,CT,2015,December,Cocaine (T40.5),168,174,100,0.016339869,
CT,CT,2016,January,Cocaine (T40.5),171,177,100,0.0164647,
CT,CT,2016,February,Cocaine (T40.5),177,184,100,0.016539314,
CT,CT,2016,March,Cocaine (T40.5),179,186,100,0.01657715,
CT,CT,2016,April,Cocaine (T40.5),186,193,100,0.016557388,
CT,CT,2016,May,Cocaine (T40.5),195,202,100,0.01324591,
CT,CT,2016,June,Cocaine (T40.5),197,204,100,0.016562873,
CT,CT,2016,July,Cocaine (T40.5),201,208,100,0.013291686,
CT,CT,2016,August,Cocaine (T40.5),211,219,100,0.016580448,
CT,CT,2016,September,Cocaine (T40.5),223,231,100,0.016617921,
CT,CT,2016,October,Cocaine (T40.5),223,231,100,0.016580998,
CT,CT,2016,November,Cocaine (T40.5),224,232,100,0.016504918,
CT,CT,2016,December,Cocaine (T40.5),237,246,100,0.026108808,
CT,CT,2017,January,Cocaine (T40.5),250,257,100,0.025945385,Underreported due to incomplete data
CT,CT,2017,February,Cocaine (T40.5),247,255,100,0.025787319,Underreported due to incomplete data
CT,CT,2017,March,Cocaine (T40.5),259,267,100,0.0257566,Underreported due to incomplete data
CT,CT,2017,April,Cocaine (T40.5),267,277,100,0.025720165,Underreported due to incomplete data
CT,CT,2017,May,Cocaine (T40.5),280,291,100,0.025709419,Underreported due to incomplete data
CT,CT,2017,June,Cocaine (T40.5),278,289,100,0.0224,Underreported due to incomplete data
CT,CT,2017,July,Cocaine (T40.5),286,296,100,0.022330686,Underreported due to incomplete data
CT,CT,2017,August,Cocaine (T40.5),294,304,100,0.019122896,Underreported due to incomplete data
CT,CT,2017,September,Cocaine (T40.5),289,299,100,0.015850372,Underreported due to incomplete data
CT,CT,2017,October,Cocaine (T40.5),285,296,100,0.015866468,Underreported due to incomplete data
CT,CT,2017,November,Cocaine (T40.5),285,296,100,0.019091864,Underreported due to incomplete data
CT,CT,2017,December,Cocaine (T40.5),290,301,100,0.012680298,Underreported due to incomplete data
CT,CT,2018,January,Cocaine (T40.5),280,289,100,0.081897502,Underreported due to incomplete data
CT,CT,2018,February,Cocaine (T40.5),280,290,100,0.158378207,Underreported due to incomplete data
CT,CT,2018,March,Cocaine (T40.5),280,290,100,0.196650596,Underreported due to incomplete data
CT,CT,2018,April,Cocaine (T40.5),280,293,100,0.231364097,Underreported due to incomplete data
CT,CT,2015,January,Heroin (T40.1),298,299,100,0.009926872,
