STATE,RATE,DEATHS,URL
AL,3.9,169,/nchs/pressroom/states/alabama/alabama.htm
AK,7.5,46,/nchs/pressroom/states/alaska/alaska.htm
AZ,10.6,511,/nchs/pressroom/states/arizona/arizona.htm
AR,4.4,113,/nchs/pressroom/states/arkansas/arkansas.htm
CA,8.1,"2,662",/nchs/pressroom/states/california/california.htm
CO,8,349,/nchs/pressroom/states/colorado/colorado.htm
CT,9,310,/nchs/pressroom/states/connecticut/connecticut.htm
DE,6.4,50,/nchs/pressroom/states/delaware/delaware.htm
FL,6.4,997,/nchs/pressroom/states/florida/florida.htm
GA,3.5,283,/nchs/pressroom/states/georgia/georgia.htm
HI,6.5,80,/nchs/pressroom/states/hawaii/hawaii.htm
ID,5.3,64,/nchs/pressroom/states/idaho/idaho.htm
IL,6.7,825,/nchs/pressroom/states/illinois/illinois.htm
IN,3.2,191,/nchs/pressroom/states/indiana/indiana.htm
IA,1.9,53,/nchs/pressroom/states/iowa/iowa.htm
KS,3.4,89,/nchs/pressroom/states/kansas/kansas.htm
KY,4.9,197,/nchs/pressroom/states/kentucky/kentucky.htm
LA,4.3,188,/nchs/pressroom/states/louisiana/louisiana.htm
ME,5.3,67,/nchs/pressroom/states/maine/maine.htm
MD,11.4,629,/nchs/pressroom/states/maryland/maryland.htm
MA,7.5,488,/nchs/pressroom/states/massachusetts/massachusetts.htm
MI,4.6,460,/nchs/pressroom/states/michigan/michigan.htm
MN,2.8,136,/nchs/pressroom/states/minnesota/minnesota.htm
MS,3.2,87,/nchs/pressroom/states/mississippi/mississippi.htm
MO,5,276,/nchs/pressroom/states/missouri/missouri.htm
MT,4.6,41,/nchs/pressroom/states/montana/montana.htm
NE,2.3,39,/nchs/pressroom/states/nebraska/nebraska.htm
NV,11.5,227,/nchs/pressroom/states/nevada/nevada.htm
NH,4.3,54,/nchs/pressroom/states/newhampshire/newhampshire.htm
NJ,6.5,557,/nchs/pressroom/states/newjersey/newjersey.htm
NM,15,266,/nchs/pressroom/states/newmexico/newmexico.htm
NY,5,959,/nchs/pressroom/states/newyork/newyork.htm
NC,4.6,366,/nchs/pressroom/states/northcarolina/northcarolina.htm
ND,0,12,/nchs/pressroom/states/northdakota/northdakota.htm
OH,4.2,467,/nchs/pressroom/states/ohio/ohio.htm
OK,5.4,178,/nchs/pressroom/states/oklahoma/oklahoma.htm
OR,6.1,210,/nchs/pressroom/states/oregon/oregon.htm
PA,8.1,990,/nchs/pressroom/states/pennsylvania/pennsylvania.htm
RI,5.5,58,/nchs/pressroom/states/rhodeisland/rhodeisland.htm
SC,3.7,147,/nchs/pressroom/states/southcarolina/southcarolina.htm
SD,0,17,/nchs/pressroom/states/southdakota/southdakota.htm
TN,6.1,344,/nchs/pressroom/states/tenessee/tennessee.htm
TX,5.4,"1,087",/nchs/pressroom/states/texas/texas.htm
UT,10.6,205,/nchs/pressroom/states/utah/utah.htm
VT,4.7,29,/nchs/pressroom/states/vermont/vermont.htm
VA,5,366,/nchs/pressroom/states/virginia/virginia.htm
WA,9.3,555,/nchs/pressroom/states/washington/washington.htm
WV,4.1,75,/nchs/pressroom/states/westvirginia/westvirginia.htm
WI,4,212,/nchs/pressroom/states/wisconsin/wisconsin.htm
WY,4.1,20,/nchs/pressroom/states/wyoming/wyoming.htm
