STATE,RATE,DEATHS,URL
AL,6.3,283,/nchs/pressroom/states/alabama/alabama.htm
AK,11.4,79,/nchs/pressroom/states/alaska/alaska.htm
AZ,14.1,794,/nchs/pressroom/states/arizona/arizona.htm
AR,10.1,269,/nchs/pressroom/states/arkansas/arkansas.htm
CA,9,"3,214",/nchs/pressroom/states/california/california.htm
CO,12.7,608,/nchs/pressroom/states/colorado/colorado.htm
CT,8.5,295,/nchs/pressroom/states/connecticut/connecticut.htm
DE,7.5,62,/nchs/pressroom/states/delaware/delaware.htm
FL,13.5,"2,371",/nchs/pressroom/states/florida/florida.htm
GA,8.2,738,/nchs/pressroom/states/georgia/georgia.htm
HI,9.4,126,/nchs/pressroom/states/hawaii/hawaii.htm
ID,8.1,109,/nchs/pressroom/states/idaho/idaho.htm
IL,8.4,"1,067",/nchs/pressroom/states/illinois/illinois.htm
IN,9.8,610,/nchs/pressroom/states/indiana/indiana.htm
IA,4.8,141,/nchs/pressroom/states/iowa/iowa.htm
KS,9.1,241,/nchs/pressroom/states/kansas/kansas.htm
KY,15.3,638,/nchs/pressroom/states/kentucky/kentucky.htm
LA,14.7,661,/nchs/pressroom/states/louisiana/louisiana.htm
ME,12.4,163,/nchs/pressroom/states/maine/maine.htm
MD,11.4,656,/nchs/pressroom/states/maryland/maryland.htm
MA,12,780,/nchs/pressroom/states/massachusetts/massachusetts.htm
MI,9.8,985,/nchs/pressroom/states/michigan/michigan.htm
MN,5.4,282,/nchs/pressroom/states/minnesota/minnesota.htm
MS,8.8,248,/nchs/pressroom/states/mississippi/mississippi.htm
MO,10.7,608,/nchs/pressroom/states/missouri/missouri.htm
MT,10.1,96,/nchs/pressroom/states/montana/montana.htm
NE,5,86,/nchs/pressroom/states/nebraska/nebraska.htm
NV,18.7,457,/nchs/pressroom/states/nevada/nevada.htm
NH,10.7,142,/nchs/pressroom/states/newhampshire/newhampshire.htm
NJ,9.4,823,/nchs/pressroom/states/newjersey/newjersey.htm
NM,20.1,373,/nchs/pressroom/states/newmexico/newmexico.htm
NY,4.8,944,/nchs/pressroom/states/newyork/newyork.htm
NC,11.4,"1,000",/nchs/pressroom/states/northcarolina/northcarolina.htm
ND,0,12,/nchs/pressroom/states/northdakota/northdakota.htm
OH,10.9,"1,243",/nchs/pressroom/states/ohio/ohio.htm
OK,13.8,478,/nchs/pressroom/states/oklahoma/oklahoma.htm
OR,10.4,386,/nchs/pressroom/states/oregon/oregon.htm
PA,13.2,"1,613",/nchs/pressroom/states/pennsylvania/pennsylvania.htm
RI,14.3,156,/nchs/pressroom/states/rhodeisland/rhodeisland.htm
SC,9.9,427,/nchs/pressroom/states/southcarolina/southcarolina.htm
SD,5.5,40,/nchs/pressroom/states/southdakota/southdakota.htm
TN,14.5,872,/nchs/pressroom/states/tenessee/tennessee.htm
TX,8.5,"1,910",/nchs/pressroom/states/texas/texas.htm
UT,19.3,438,/nchs/pressroom/states/utah/utah.htm
VT,8.5,53,/nchs/pressroom/states/vermont/vermont.htm
VA,7.5,581,/nchs/pressroom/states/virginia/virginia.htm
WA,13,850,/nchs/pressroom/states/washington/washington.htm
WV,10.5,184,/nchs/pressroom/states/westvirginia/westvirginia.htm
WI,9.3,518,/nchs/pressroom/states/wisconsin/wisconsin.htm
WY,4.9,26,/nchs/pressroom/states/wyoming/wyoming.htm
