STATE,RATE,DEATHS,URL
AL,16.2,756,/nchs/pressroom/states/alabama/alabama.htm
AK,16.8,128,/nchs/pressroom/states/alaska/alaska.htm
AZ,20.3,"1,382",/nchs/pressroom/states/arizona/arizona.htm
AR,14,401,/nchs/pressroom/states/arkansas/arkansas.htm
CA,11.2,"4,654",/nchs/pressroom/states/california/california.htm
CO,16.6,942,/nchs/pressroom/states/colorado/colorado.htm
CT,27.4,971,/nchs/pressroom/states/connecticut/connecticut.htm
DE,30.8,282,/nchs/pressroom/states/delaware/delaware.htm
FL,23.7,"4,728",/nchs/pressroom/states/florida/florida.htm
GA,13.3,"1,394",/nchs/pressroom/states/georgia/georgia.htm
HI,12.8,191,/nchs/pressroom/states/hawaii/hawaii.htm
ID,15.2,243,/nchs/pressroom/states/idaho/idaho.htm
IL,18.9,"2,411",/nchs/pressroom/states/illinois/illinois.htm
IN,24,"1,526",/nchs/pressroom/states/indiana/indiana.htm
IA,10.6,314,/nchs/pressroom/states/iowa/iowa.htm
KS,11.1,313,/nchs/pressroom/states/kansas/kansas.htm
KY,33.5,"1,419",/nchs/pressroom/states/kentucky/kentucky.htm
LA,21.8,996,/nchs/pressroom/states/louisiana/louisiana.htm
ME,28.7,353,/nchs/pressroom/states/maine/maine.htm
MD,33.2,"2,044",/nchs/pressroom/states/maryland/maryland.htm
MA,33,"2,227",/nchs/pressroom/states/massachusetts/massachusetts.htm
MI,24.4,"2,347",/nchs/pressroom/states/michigan/michigan.htm
MN,12.5,672,/nchs/pressroom/states/minnesota/minnesota.htm
MS,12.1,352,/nchs/pressroom/states/mississippi/mississippi.htm
MO,23.6,"1,371",/nchs/pressroom/states/missouri/missouri.htm
MT,11.7,119,/nchs/pressroom/states/montana/montana.htm
NE,6.4,120,/nchs/pressroom/states/nebraska/nebraska.htm
NV,21.7,665,/nchs/pressroom/states/nevada/nevada.htm
NH,39,481,/nchs/pressroom/states/newhampshire/newhampshire.htm
NJ,23.2,"2,056",/nchs/pressroom/states/newjersey/newjersey.htm
NM,25.2,500,/nchs/pressroom/states/newmexico/newmexico.htm
NY,18,"3,638",/nchs/pressroom/states/newyork/newyork.htm
NC,19.7,"1,956",/nchs/pressroom/states/northcarolina/northcarolina.htm
ND,10.6,77,/nchs/pressroom/states/northdakota/northdakota.htm
OH,39.1,"4,329",/nchs/pressroom/states/ohio/ohio.htm
OK,21.5,813,/nchs/pressroom/states/oklahoma/oklahoma.htm
OR,11.9,506,/nchs/pressroom/states/oregon/oregon.htm
PA,37.9,"4,627",/nchs/pressroom/states/pennsylvania/pennsylvania.htm
RI,30.8,326,/nchs/pressroom/states/rhodeisland/rhodeisland.htm
SC,18.1,879,/nchs/pressroom/states/southcarolina/southcarolina.htm
SD,8.4,69,/nchs/pressroom/states/southdakota/southdakota.htm
TN,24.5,"1,630",/nchs/pressroom/states/tenessee/tennessee.htm
TX,10.1,"2,831",/nchs/pressroom/states/texas/texas.htm
UT,22.4,635,/nchs/pressroom/states/utah/utah.htm
VT,22.2,125,/nchs/pressroom/states/vermont/vermont.htm
VA,16.7,"1,405",/nchs/pressroom/states/virginia/virginia.htm
WA,14.5,"1,102",/nchs/pressroom/states/washington/washington.htm
WV,52,884,/nchs/pressroom/states/westvirginia/westvirginia.htm
WI,19.3,"1,074",/nchs/pressroom/states/wisconsin/wisconsin.htm
WY,17.6,99,/nchs/pressroom/states/wyoming/wyoming.htm
