Location_Name,Address,City,State,ZIP,Location,UniqueId,Zip Code,Planning Regions,Town Index,Counties
VERNON POLICE DEPARTMENT,725 HARTFORD TPKE,VERNON ROCKVILLE,CT,,"725 HARTFORD TPKE
CT 06066-5115
(41.839371, -72.464945)",1165866,248,1,146,38
WINCHESTER POLICE DEPARTMENT,338 MAIN STREET,WINSTED,CT,,"338 MAIN STREET
CT 06098
(41.921167, -73.068856)",1201225,49,6,162,1042
DESPP DIVISION OF STATE POLICE TROOP F,315 SPENCER PLAINS RD,WESTBROOK,CT,,"315 SPENCER PLAINS RD
CT 06498-3509
(41.29266, -72.429886)",1342890,127,3,154,1043
WILTON POLICE DEPARTMENT,240 DANBURY RD,WILTON,CT,,"240 DANBURY RD
CT 06897-4008
(41.189588, -73.426473)",1035797,212,9,161,1040
ORANGE POLICE DEPARTMENT,314 LAMBERT ROAD,ORANGE,CT,,"314 LAMBERT ROAD
CT 06477
(41.264474, -73.006928)",1523092,196,7,107,1044
SIMSBURY POLICE DEPARTMENT,933 HOPMEADOW ST,SIMSBURY,CT,,"933 HOPMEADOW ST
CT 06070-1822
(41.880113, -72.800071)",1045811,18,1,128,1041
WINDSOR LOCKS POLICE DEPARTMENT,4 VOLUNTEER DR,WINDSOR LOCKS,CT,,"4 VOLUNTEER DR
CT 06096-2134
(41.927721, -72.647637)",1058663,21,1,165,1041
MADISON POLICE DEPARTMENT,9 CAMPUS DR,MADISON,CT,,"9 CAMPUS DR
CT 06443-2562
(41.295519, -72.57469)",1268362,134,7,76,1044
TORRINGTON POLICE DEPARTMENT,576 MAIN ST,TORRINGTON,CT,,"576 MAIN ST
CT 06790-3710
(41.81225, -73.121278)",1205523,122,6,143,1042
TOWN OF GROTON POLICE DEPT,68 GROTON LONG POINT RD,GROTON,CT,,"68 GROTON LONG POINT RD
CT 06340-4806
(41.34337, -72.010872)",1122632,243,8,59,1045
STRATFORD POLICE,900 LONGBROOK AVE,STRATFORD,CT,,"900 LONGBROOK AVE
CT 06614-5007
(41.200726, -73.129242)",1184244,218,2,138,1040
FARMINGTON POLICE DEPARTMENT,319 NEW BRITAIN AVE,UNIONVILLE,CT,,"319 NEW BRITAIN AVE
CT 06085-1224
(41.748653, -72.873663)",1130540,81,1,52,1041
STAFFORD POLICE,2 MAIN ST,STAFFORD SPRINGS,CT,,"2 MAIN ST
CT 06076-1411
(41.953551, -72.303269)",1253849,34,1,134,38
NAUGATUCK POLICE DEPARTMENT,211 SPRING ST,NAUGATUCK,CT,,"211 SPRING ST
CT 06770-2990
(41.505565, -73.054712)",1070785,169,4,88,1044
CHESHIRE POLICE UNION,500 HIGHLAND AVE,CHESHIRE,CT,,"500 HIGHLAND AVE
CT 06410-2249
(41.511207, -72.899175)",1115844,63,4,25,1044
MERIDEN POLICE DEPARTMENT,50 WEST MAIN ST,MERIDEN,CT,,"50 WEST MAIN ST
CT 06451
(41.538203, -72.804582)",1231342,226,7,80,1044
STONINGTON POLICE DEPARTMENT,173 S BROAD ST,PAWCATUCK,CT,,"173 S BROAD ST
CT 06379-1920
(41.368416, -71.861542)",1275903,65,8,137,1045
GLASTONBURY POLICE DEPARTMENT,2108 MAIN STREET,GLASTONBURY,CT,,"2108 MAIN STREET
CT 06033
(41.706063, -72.608024)",1418016,90,1,54,1041
MONTVILLE POLICE DEPARTMENT,911 NORWICH NEW LONDON TPKE,UNCASVILLE,CT,,"911 NORWICH NEW LONDON TPKE
CT 06382-1917
(41.450027, -72.106561)",1145845,15,8,86,1045
DANBURY POLICE DEPARTMENT,375 MAIN STREET,DANBURY,CT,,"375 MAIN STREET
CT 06810
(41.400377, -73.458409)",1453343,1,9,34,1040
SUFFIELD POLICE DEPARTMENT,911 MOUNTAIN RD,SUFFIELD,CT,,"911 MOUNTAIN RD
CT 06078-3074
(41.98495, -72.684871)",1335205,115,1,139,1041
EAST HAMPTON POLICE DEPARTMENT,20 E HIGH ST,EAST HAMPTON,CT,,"20 E HIGH ST
CT 06424-1002
(41.583425, -72.503361)",1531447,273,3,42,1043
RIDGEFIELD POLICE DEPT.,76 EAST RIDGE RD,RIDGEFIELD,CT,,"76 EAST RIDGE RD
CT 06877-5022
(41.280673, -73.493872)",1035832,43,9,118,1040
ELLINGTON POLICE DEPARTMENT,33 ARBOR WAY,ELLINGTON,CT,,"33 ARBOR WAY
CT 06029-3354
(41.903188, -72.464406)",1345706,142,1,48,38
SHELTON POLICE DEPARTMENT (K9 UNIT),85 WHEELER ST,SHELTON,CT,,"85 WHEELER ST
CT 06484
(41.32056, -73.111926)",1051847,217,4,126,1040
MASHANTUCKET PEQUOT TRIBAL POLICE DEPARTMENT,101 PEQUOT TRL,MASHANTUCKET,CT,,"101 PEQUOT TRL
CT 06338-3823
(41.466045, -71.958538)",1332185,66,8,72,1045
WINDSOR POLICE DEPARTMENT,340 BLOOMFIELD AVENUE,WINDSOR,CT,,"340 BLOOMFIELD AVENUE
CT 06095
(41.851933, -72.660769)",1467498,19,1,164,1041
GUILFORD POLICE DEPARTMENT,400 CHURCH ST,GUILFORD,CT,,"400 CHURCH ST
CT 06437-2004
(41.297507, -72.687703)",1145078,201,7,60,1044
LEDYARD POLICE DEPARTMENT,737 Colonel Ledyard Highway,LEDYARD,CT,,"737 Colonel Ledyard Highway
CT 06339
(41.442079, -72.017)",1187123,66,8,72,1045
DESPP DIVISION OF STATE POLICE TROOP G,149 PROSPECT ST,BRIDGEPORT,CT,,"149 PROSPECT ST
CT 06604-4621
(41.173261, -73.191877)",1342902,172,2,15,1040
PLAINVILLE POLICE DEPARTMENT,19 NEAL CT,PLAINVILLE,CT,,"19 NEAL CT
CT 06062-1603
(41.673017, -72.865397)",1116202,260,1,110,1041
DESPP DIVISION OF STATE POLICE TROOP I,631 AMITY RD,BETHANY,CT,,"631 AMITY RD
CT 06524-3026
(41.432934, -72.993243)",1342215,64,7,8,1044
MANCHESTER POLICE DEPARTMENT,239 MIDDLE TPKE E,MANCHESTER,CT,,"239 MIDDLE TPKE E
CT 06040-4358
(41.783609, -72.511894)",1058229,263,1,77,1041
NEWTOWN POLICE DEPARTMENT,3 MAIN ST,NEWTOWN,CT,,"3 MAIN ST
CT 06470-2104
(41.409475, -73.305722)",1256084,153,9,97,1040
MILFORD POLICE DEPARTMENT,430 BOSTON POST ROAD,MILFORD,CT,,"430 BOSTON POST ROAD
CT 06460
(41.227522, -73.069746)",1408371,28,7,84,1044
ENFIELD POLICE DEPARTMENT,293 ELM ST,ENFIELD,CT,,"293 ELM ST
CT 06082-3907
(41.99737, -72.555095)",1070221,108,1,49,1041
DESPP DIVISION OF STATE POLICE TROOP E,GOVERNOR JOHN DAVIS LODGE TURNPIKE,UNCASVILLE,CT,,"GOVERNOR JOHN DAVIS LODGE TURNPIKE, CT 06382-0306
(41.463809, -72.111924)",1343492,15,8,86,1045
GREENWICH POLICE DEPARTMENT,11 BRUCE PL,GREENWICH,CT,,"11 BRUCE PL
CT 06830-6535
(41.025359, -73.624672)",1035891,6,9,57,1040
PUTNAM POLICE DEPARTMENT,189 CHURCH ST,PUTNAM,CT,,"189 CHURCH ST
CT 06260-1537
(41.920588, -71.91069)",1163781,39,5,116,39
EAST LYME POLICE DEPARTMENT,278 MAIN ST,NIANTIC,CT,,"278 MAIN ST
CT 06357-3102
(41.323173, -72.193851)",1176683,31,8,45,1045
BETHEL POLICE DEPARTMENT,49 PLUMTREES RD,BETHEL,CT,,"49 PLUMTREES RD
CT 06801-1616
(41.385239, -73.398882)",1231136,77,9,9,1040
DESPP DIVISION OF STATE POLICE TROOP H,100R WASHINGTON ST,HARTFORD,CT,,"100R WASHINGTON ST
CT 06106-4405
(41.759804, -72.682111)",1342197,182,1,64,1041
SOUTHINGTON POLICE DEPARTMENT,69 LAZY LN,SOUTHINGTON,CT,,"69 LAZY LN
CT 06489-1763
(41.621535, -72.875557)",1078015,176,1,131,1041
NEW HAVEN POLICE DEPARTMENT,1 UNION AVE,NEW HAVEN,CT,,"1 UNION AVE
CT 06519-1721
(41.299736, -72.925135)",1117409,132,7,93,1044
NORWALK DEPARTMENT OF POLICE SERVICE,1 MONROE ST,NORWALK,CT,,"1 MONROE ST
CT 06854-3103
(41.09657, -73.418958)",1221357,155,9,103,1040
THOMASTON POLICE DEPARTMENT,158 MAIN ST,THOMASTON,CT,,"158 MAIN ST
CT 06787-1744
(41.674456, -73.072593)",1332018,266,4,140,1042
WATERBURY POLICE DEPARTMENT,255 E MAIN ST,WATERBURY,CT,,"255 E MAIN ST
CT 06702-2301
(41.554554, -73.036131)",1143916,167,4,151,1044
DESPP DIVISION OF STATE POLICE TROOP A,90 LAKESIDE RD,SOUTHBURY,CT,,"90 LAKESIDE RD
CT 06488-2508
(41.456947, -73.233696)",1343027,99,4,130,1044
NEW LONDON POLICE DEPARTMENT,5 GOVERNOR WINTHROP BLVD,NEW LONDON,CT,,"5 GOVERNOR WINTHROP BLVD
CT 06320-6423
(41.356544, -72.096003)",1067834,144,8,95,1045
WILLIMANTIC POLICE DEPARTMENT,22 MEADOW ST,WILLIMANTIC,CT,,"22 MEADOW ST
CT 06226-2507
(41.713047, -72.213104)",1256095,207,8,163,39
NEW MILFORD POLICE DEPARTMENT,49 POPLAR ST,NEW MILFORD,CT,,"49 POPLAR ST
CT 06776-2920
(41.586193, -73.407866)",1241492,88,9,96,1042
MONROE POLICE DEPARTMENT,7 FAN HILL ROAD,MONROE,CT,,"7 FAN HILL ROAD
CT 06468
(41.332551, -73.207425)",1487394,3,2,85,1040
PLYMOUTH POLICE DEPARTMENT,80 MAIN ST,TERRYVILLE,CT,,"80 MAIN ST
CT 06786-5107
(41.679092, -73.000921)",1427199,53,4,111,1042
HEBRON RESIDENT TROOPER'S OFFICE,44 MAIN ST,HEBRON,CT,,"44 MAIN ST
CT 06248-1515
(41.659102, -72.362435)",1401473,68,1,67,38
WOLCOTT POLICE DEPT.,225 NICHOLS RD,WOLCOTT,CT,,"225 NICHOLS RD
CT 06716-2718
(41.578536, -72.981443)",1055726,252,4,166,1044
FAIRFIELD POLICE DEPARTMENT,100 REEF RD,FAIRFIELD,CT,,"100 REEF RD
CT 06824-5919
(41.139625, -73.256607)",1188115,111,2,51,1040
DESPP DIVISION OF STATE POLICE TROOP D,55 WESTCOTT RD,DANIELSON,CT,,"55 WESTCOTT RD
CT 06239-2929
(41.809336, -71.876592)",1342230,71,5,69,39
