CredentialId,Name,Type,BusinessName,DBA,FullCredentialCode,CredentialType,CredentialNumber,CredentialSubCategory,Credential,Status,StatusReason,Active,IssueDate,EffectiveDate,ExpirationDate,Address,City,State,Zip,RecordRefreshedOn
1274566,"FAMILY & CHILDREN'S AID, INC.",CORPORATION,"FAMILY & CHILDREN'S AID, INC.","FAMILY & CHILDREN'S AID, INC.",SA.0000486,SA,486,,Substance Abuse,ACTIVE,CURRENT,1,03/26/2015,01/01/2019,12/31/2020,87 WEST ST,DANBURY,CT,068106528,11/14/2018
1614117,PATHWAYS CORRIGAN,BUSINESS,PATHWAYS CORRIGAN,PATHWAYS CORRIGAN,SA.0000576,SA,576,,Substance Abuse,ACTIVE,CURRENT,1,11/13/2018,11/13/2018,09/30/2020,986 NORWICH NEW LONDON TPKE,UNCASVILLE,CT,063821928,11/13/2018
1143907,"UNITED COMMUNITY & FAMILY SERVICES, INC",CORPORATION,"UNITED COMMUNITY & FAMILY SERVICES, INC","UNITED COMMUNITY & FAMILY SERVICES, INC",SA.0000446,SA,446,,Substance Abuse,ACTIVE,CURRENT,1,01/03/2013,01/01/2019,12/31/2020,120-122 PLAINFIELD RD,MOOSUP,CT,06354,11/08/2018
930314,UNITED COMMUNITY & FAMILY SERVICES INC.,BUSINESS,UNITED COMMUNITY & FAMILY SERVICES INC.,"UNITED COMMUNITY & FAMILY SERVICES, INC.",SA.0000268,SA,268,,Substance Abuse,ACTIVE,CURRENT,1,04/01/2010,01/01/2017,12/31/2018,47 TOWN ST,NORWICH,CT,063602323,11/06/2018
930517,UNITED COMMUNITY & FAMILY SERVICES INC.,BUSINESS,UNITED COMMUNITY & FAMILY SERVICES INC.,UNITED COMMUNITY AND FAMILY SERVICES,SA.0SA0197,SA,SA0197,,Substance Abuse,ACTIVE,CURRENT,1,10/01/2008,01/01/2018,12/31/2020,212 UPTON RD STE C,COLCHESTER,CT,064152712,11/06/2018
930828,ALTRUISM HOUSE FOR WOMEN,BUSINESS,ALTRUISM HOUSE FOR WOMEN,ALTRUISM HOUSE FOR WOMEN,SA.0000248,SA,248,,Substance Abuse,ACTIVE,CURRENT,1,07/01/2009,07/01/2017,06/30/2019,62-64 COIT STREET,NEW LONDON,CT,06320,11/01/2018
981165,ROOTS TO RECOVERY,CORPORATION,ROOTS TO RECOVERY,ROOTS TO RECOVERY,SA.0000411,SA,411,,Substance Abuse,ACTIVE,CURRENT,1,01/11/2011,01/01/2019,12/31/2020,1491 WEST MAIN ST,WILLIMANTIC,CT,062261914,11/01/2018
930592,COMMUNITY HEALTH SERVICES INC.,BUSINESS,COMMUNITY HEALTH SERVICES INC.,"COMMUNITY HEALTH SERVICES, INC.",SA.0000220,SA,220,,Substance Abuse,ACTIVE,CURRENT,1,01/01/2010,01/01/2018,12/31/2019,500 ALBANY AVE,HARTFORD,CT,061202508,11/01/2018
1601479,NEWPORT ACADEMY,BUSINESS,NEWPORT ACADEMY,NEWPORT ACADEMY,SA.0000575,SA,575,,Substance Abuse,ACTIVE,CURRENT,1,10/30/2018,10/30/2018,09/30/2020,85 OLD KINGS HWY N,DARIEN,CT,068204732,10/30/2018
929685,SOUTHWEST COMMUNITY HEALTH CENTER INC.,BUSINESS,SOUTHWEST COMMUNITY HEALTH CENTER INC.,"SOUTHWEST COMMUNITY HEALTH CENTER, INC.",SA.0000363,SA,363,,Substance Abuse,ACTIVE,CURRENT,1,10/01/2009,10/01/2017,09/30/2019,968 FAIRFIELD AVE,BRIDGEPORT,CT,066051116,09/07/2017
1191415,"SOUTHWEST COMMUNITY HEALTH CENTER, INC.",CORPORATION,"SOUTHWEST COMMUNITY HEALTH CENTER, INC.","SOUTHWEST COMMUNITY HEALTH CENTER, INC.",SA.0000466,SA,466,,Substance Abuse,ACTIVE,CURRENT,1,10/29/2013,10/01/2017,09/30/2019,46 ALBION ST,BRIDGEPORT,CT,066052602,09/11/2017
930308,SOUTHWEST COMMUNITY HEALTH CENTER INC.,BUSINESS,SOUTHWEST COMMUNITY HEALTH CENTER INC.,"SOUTHWEST COMMUNITY HEALTH CENTER, INC./OUTPATIENT TREATMENT",SA.0000260,SA,260,,Substance Abuse,ACTIVE,CURRENT,1,01/01/2010,01/01/2018,12/31/2019,1046 FAIRFIELD AVE,BRIDGEPORT,CT,066051116,12/27/2017
930832,CONNECTICUT COUNSELING CENTERS INC.,BUSINESS,CONNECTICUT COUNSELING CENTERS INC.,"CONNECTICUT COUNSELING CENTERS, INC.",SA.0SA0200,SA,SA0200,,Substance Abuse,ACTIVE,CURRENT,1,01/01/2009,01/01/2018,12/31/2020,4 MIDLAND RD,WATERBURY,CT,067053412,10/12/2018
